client,true_value,mrr_value
c19953,46,46
c19954,14,48
c19955,11,11
c19956,5,5
c19957,30,84
c19958,13,7
c19959,6,22
c19960,1,56
c19961,10,10
c19962,18,77
c19963,3,3
c19964,20,18
c19965,34,38
c19966,11,51
c19967,77,37
c19968,6,88
c19969,5,29
c19970,38,38
c19971,15,39
c19972,10,84
c19973,15,15
c19974,12,12
c19975,5,7
c19976,12,91
c19977,14,79
c19978,42,19
c19979,6,8
c19980,4,4
c19981,43,17
c19982,24,81
c19983,27,36
c19984,21,34
c19985,2,2
c19986,40,49
c19987,4,20
c19988,14,74
c19989,38,27
c19990,1,20
c19991,29,63
c19992,30,26
c19993,3,100
c19994,20,21
c19995,18,79
c19996,41,41
c19997,2,25
c19998,2,7
c19999,4,67
c20000,6,6
c20001,43,59
c20002,6,79
c20003,21,68
c20004,96,96
c20005,4,4
c20006,2,20
c20007,16,63
c20008,27,94
c20009,43,43
c20010,1,44
c20011,3,30
c20012,6,60
c20013,13,13
c20014,28,87
c20015,20,20
c20016,53,25
c20017,9,52
c20018,1,94
c20019,6,31
c20020,11,92
c20021,4,64
c20022,3,38
c20023,59,33
c20024,24,11
c20025,16,32
c20026,25,25
c20027,16,39
c20028,16,11
c20029,29,10
c20030,31,23
c20031,7,13
c20032,18,84
c20033,5,89
c20034,7,37
c20035,8,8
c20036,16,12
c20037,4,4
c20038,6,6
c20039,10,34
c20040,17,17
c20041,15,54
c20042,26,21
c20043,14,96
c20044,5,5
c20045,9,14
c20046,32,56
c20047,4,42
c20048,36,95
c20049,16,76
c20050,46,46
c20051,20,93
c20052,7,7
c20053,10,3
c20054,35,73
c20055,26,93
c20056,29,91
c20057,19,74
c20058,58,85
c20059,9,79
c20060,33,64
c20061,1,18
c20062,1,1
c20063,88,58
c20064,1,51
c20065,3,100
c20066,73,25
c20067,64,89
c20068,42,6
c20069,22,4
c20070,13,80
c20071,49,8
c20072,61,42
c20073,33,39
c20074,13,20
c20075,11,45
c20076,39,97
c20077,10,16
c20078,4,4
c20079,43,71
c20080,1,66
c20081,8,8
c20082,29,4
c20083,66,66
c20084,17,79
c20085,37,32
c20086,12,89
c20087,1,1
c20088,25,37
c20089,24,31
c20090,33,33
c20091,11,11
c20092,48,69
c20093,11,78
c20094,21,50
c20095,23,23
c20096,16,34
c20097,55,49
c20098,2,72
c20099,2,95
c20100,13,22
c20101,23,44
c20102,15,64
c20103,9,97
c20104,5,5
c20105,10,50
c20106,1,77
c20107,48,48
c20108,9,68
c20109,5,21
c20110,5,31
c20111,13,34
c20112,80,27
c20113,37,1
c20114,35,54
c20115,4,5
c20116,59,87
c20117,6,84
c20118,3,82
c20119,7,25
c20120,71,63
c20121,1,96
c20122,7,96
c20123,31,31
c20124,21,71
c20125,29,46
c20126,22,58
c20127,1,63
c20128,10,97
c20129,1,1
c20130,7,48
c20131,10,59
c20132,18,59
c20133,9,17
c20134,19,19
c20135,15,95
c20136,87,11
c20137,22,78
c20138,8,23
c20139,8,98
c20140,15,24
c20141,21,68
c20142,3,78
c20143,10,26
c20144,26,54
c20145,1,42
c20146,42,42
c20147,37,67
c20148,2,2
c20149,27,24
c20150,6,6
c20151,6,45
c20152,18,40
c20153,3,84
c20154,2,3
c20155,5,61
c20156,3,28
c20157,27,82
c20158,16,10
c20159,7,7
c20160,29,12
c20161,24,90
c20162,7,20
c20163,78,26
c20164,24,17
c20165,39,25
c20166,9,57
c20167,69,75
c20168,8,8
c20169,30,23
c20170,4,49
c20171,12,12
c20172,23,17
c20173,24,48
c20174,45,39
c20175,18,25
c20176,1,88
c20177,1,78
c20178,3,10
c20179,13,13
c20180,40,40
c20181,15,88
c20182,38,42
c20183,3,7
c20184,21,48
c20185,15,66
c20186,20,95
c20187,32,90
c20188,35,24
c20189,1,88
c20190,61,28
c20191,29,5
c20192,5,84
c20193,16,4
c20194,28,67
c20195,2,80
c20196,24,18
c20197,2,2
c20198,1,98
c20199,4,11
c20200,14,14
c20201,29,50
c20202,17,89
c20203,15,41
c20204,13,76
c20205,16,16
c20206,58,45
c20207,38,38
c20208,4,47
c20209,1,88
c20210,3,3
c20211,37,100
c20212,13,81
c20213,8,8
c20214,14,41
c20215,3,47
c20216,10,26
c20217,20,48
c20218,6,6
c20219,31,14
c20220,3,40
c20221,12,91
c20222,5,50
c20223,48,18
c20224,7,17
c20225,5,20
c20226,16,16
c20227,7,7
c20228,21,39
c20229,34,12
c20230,27,27
c20231,46,41
c20232,8,42
c20233,56,73
c20234,4,4
c20235,99,13
c20236,2,12
c20237,4,63
c20238,7,66
c20239,7,52
c20240,41,19
c20241,37,21
c20242,2,42
c20243,8,36
c20244,16,74
c20245,7,70
c20246,36,91
c20247,45,65
c20248,10,10
c20249,9,9
c20250,1,11
c20251,13,44
c20252,1,25
c20253,31,66
c20254,1,37
c20255,18,37
c20256,27,20
c20257,1,26
c20258,2,95
c20259,39,4
c20260,4,4
c20261,1,1
c20262,12,12
c20263,35,12
c20264,10,10
c20265,22,72
c20266,20,44
c20267,2,16
c20268,1,1
c20269,13,37
c20270,6,25
c20271,62,75
c20272,36,56
c20273,9,8
c20274,1,94
c20275,21,22
c20276,10,82
c20277,2,79
c20278,16,15
c20279,1,9
c20280,8,28
c20281,6,47
c20282,44,7
c20283,68,59
c20284,8,54
c20285,37,37
c20286,8,48
c20287,32,57
c20288,5,2
c20289,8,40
c20290,4,59
c20291,21,86
c20292,13,43
c20293,3,98
c20294,3,27
c20295,3,22
c20296,10,93
c20297,10,19
c20298,15,15
c20299,1,18
c20300,32,77
c20301,14,78
c20302,13,96
c20303,6,32
c20304,5,71
c20305,17,32
c20306,18,20
c20307,19,24
c20308,4,30
c20309,4,4
c20310,14,37
c20311,8,8
c20312,17,66
c20313,33,20
c20314,28,97
c20315,24,81
c20316,20,38
c20317,41,56
c20318,8,49
c20319,1,95
c20320,2,71
c20321,37,37
c20322,4,20
c20323,25,31
c20324,24,32
c20325,3,27
c20326,18,71
c20327,6,29
c20328,16,55
c20329,18,18
c20330,6,6
c20331,11,52
c20332,2,13
c20333,24,24
c20334,10,83
c20335,9,9
c20336,17,19
c20337,16,51
c20338,64,86
c20339,43,42
c20340,9,60
c20341,8,55
c20342,52,51
c20343,10,23
c20344,4,65
c20345,21,77
c20346,1,31
c20347,19,48
c20348,50,50
c20349,41,43
c20350,7,35
c20351,32,47
c20352,2,80
c20353,10,73
c20354,15,89
c20355,5,36
c20356,12,46
c20357,11,11
c20358,22,21
c20359,18,5
c20360,13,13
c20361,22,55
c20362,5,5
c20363,17,17
c20364,10,36
c20365,10,28
c20366,2,37
c20367,73,57
c20368,50,80
c20369,26,85
c20370,3,69
c20371,30,30
c20372,28,42
c20373,1,100
c20374,26,31
c20375,1,4
c20376,7,59
c20377,9,86
c20378,13,33
c20379,13,12
c20380,36,33
c20381,12,20
c20382,5,59
c20383,8,21
c20384,3,79
c20385,1,63
c20386,60,60
c20387,31,84
c20388,1,1
c20389,41,78
c20390,15,55
c20391,67,41
c20392,1,63
c20393,27,81
c20394,3,68
c20395,37,51
c20396,1,37
c20397,43,56
c20398,29,55
c20399,4,73
c20400,35,18
c20401,10,18
c20402,1,8
c20403,29,6
c20404,36,36
c20405,5,90
c20406,51,86
c20407,2,27
c20408,31,31
c20409,10,38
c20410,28,23
c20411,10,73
c20412,23,30
c20413,24,63
c20414,2,2
c20415,36,48
c20416,5,5
c20417,27,27
c20418,11,3
c20419,24,24
c20420,5,5
c20421,13,62
c20422,51,23
c20423,14,34
c20424,10,93
c20425,3,82
c20426,16,16
c20427,63,32
c20428,26,77
c20429,11,59
c20430,47,46
c20431,3,71
c20432,51,34
c20433,31,29
c20434,6,75
c20435,8,22
c20436,26,98
c20437,27,66
c20438,7,27
c20439,46,20
c20440,6,3
c20441,3,72
c20442,15,9
c20443,32,4
c20444,16,3
c20445,18,15
c20446,10,2
c20447,23,91
c20448,25,51
c20449,4,4
c20450,22,67
c20451,41,41
c20452,6,33
c20453,47,17
c20454,5,73
c20455,6,59
c20456,29,74
c20457,6,50
c20458,52,96
c20459,1,69
c20460,25,16
c20461,12,45
c20462,16,13
c20463,9,6
c20464,24,48
c20465,28,92
c20466,10,24
c20467,20,35
c20468,78,47
c20469,22,16
c20470,7,7
c20471,6,6
c20472,6,6
c20473,8,55
c20474,29,27
c20475,1,67
c20476,60,36
c20477,26,18
c20478,37,48
c20479,21,23
c20480,34,34
c20481,7,83
c20482,3,14
c20483,12,12
c20484,45,8
c20485,13,72
c20486,43,74
c20487,10,10
c20488,4,32
c20489,2,56
c20490,23,59
c20491,2,90
c20492,5,5
c20493,13,67
c20494,48,26
c20495,16,8
c20496,37,51
c20497,19,60
c20498,48,79
c20499,14,27
c20500,12,86
c20501,18,9
c20502,27,2
c20503,12,12
c20504,46,10
c20505,5,34
c20506,49,68
c20507,14,14
c20508,58,36
c20509,72,93
c20510,40,1
c20511,20,99
c20512,40,78
c20513,7,71
c20514,27,31
c20515,41,64
c20516,28,28
c20517,6,21
c20518,1,58
c20519,1,60
c20520,10,15
c20521,4,92
c20522,37,72
c20523,21,4
c20524,1,7
c20525,6,95
c20526,64,85
c20527,7,98
c20528,17,68
c20529,34,58
c20530,1,1
c20531,25,50
c20532,25,30
c20533,49,92
c20534,47,64
c20535,66,66
c20536,5,50
c20537,22,73
c20538,22,50
c20539,54,35
c20540,5,87
c20541,9,62
c20542,27,30
c20543,7,88
c20544,8,38
c20545,39,11
c20546,6,6
c20547,44,44
c20548,40,67
c20549,35,82
c20550,23,98
c20551,29,31
c20552,9,28
c20553,25,83
c20554,38,33
c20555,15,91
c20556,21,66
c20557,5,5
c20558,4,44
c20559,49,92
c20560,16,43
c20561,6,6
c20562,48,77
c20563,8,8
c20564,1,62
c20565,27,8
c20566,15,100
c20567,20,59
c20568,50,66
c20569,4,32
c20570,51,92
c20571,5,23
c20572,7,66
c20573,9,74
c20574,3,12
c20575,5,19
c20576,1,58
c20577,23,66
c20578,29,26
c20579,8,3
c20580,7,14
c20581,5,29
c20582,24,24
c20583,27,63
c20584,10,10
c20585,29,100
c20586,2,21
c20587,43,43
c20588,12,85
c20589,25,25
c20590,34,69
c20591,9,9
c20592,7,85
c20593,6,58
c20594,24,57
c20595,2,43
c20596,7,7
c20597,1,56
c20598,18,30
c20599,7,55
c20600,18,11
c20601,25,77
c20602,50,75
c20603,47,52
c20604,20,35
c20605,16,42
c20606,13,36
c20607,31,31
c20608,6,96
c20609,15,3
c20610,20,60
c20611,62,36
c20612,18,32
c20613,7,7
c20614,10,76
c20615,45,49
c20616,9,86
c20617,13,66
c20618,47,92
c20619,3,55
c20620,17,53
c20621,11,11
c20622,3,11
c20623,11,79
c20624,2,20
c20625,8,60
c20626,28,28
c20627,7,15
c20628,11,16
c20629,41,14
c20630,18,70
c20631,7,90
c20632,23,88
c20633,44,63
c20634,6,6
c20635,7,39
c20636,7,33
c20637,20,23
c20638,3,57
c20639,13,10
c20640,22,65
c20641,1,14
c20642,13,76
c20643,53,1
c20644,22,72
c20645,30,26
c20646,9,50
c20647,27,91
c20648,26,26
c20649,7,89
c20650,31,75
c20651,14,78
c20652,16,16
c20653,2,20
c20654,14,70
c20655,50,80
c20656,40,86
c20657,5,76
c20658,9,21
c20659,10,22
c20660,45,100
c20661,6,56
c20662,5,100
c20663,32,17
c20664,17,53
c20665,80,82
c20666,14,48
c20667,24,86
c20668,4,51
c20669,13,33
c20670,12,34
c20671,11,22
c20672,47,60
c20673,14,28
c20674,4,60
c20675,7,7
c20676,56,69
c20677,46,46
c20678,1,26
c20679,3,90
c20680,53,33
c20681,4,4
c20682,15,15
c20683,4,71
c20684,43,43
c20685,43,71
c20686,9,51
c20687,28,28
c20688,47,69
c20689,18,60
c20690,1,98
c20691,22,48
c20692,24,33
c20693,33,62
c20694,7,2
c20695,29,38
c20696,9,95
c20697,6,14
c20698,5,78
c20699,4,28
c20700,3,42
c20701,2,2
c20702,23,23
c20703,23,38
c20704,1,1
c20705,8,9
c20706,31,74
c20707,9,45
c20708,10,10
c20709,1,34
c20710,43,52
c20711,2,95
c20712,53,64
c20713,1,1
c20714,7,88
c20715,5,1
c20716,14,57
c20717,19,19
c20718,43,43
c20719,10,43
c20720,40,62
c20721,16,6
c20722,10,3
c20723,36,88
c20724,5,24
c20725,1,89
c20726,5,5
c20727,29,68
c20728,64,68
c20729,13,6
c20730,28,81
c20731,12,47
c20732,1,19
c20733,15,3
c20734,34,24
c20735,23,23
c20736,23,23
c20737,41,52
c20738,20,20
c20739,1,98
c20740,7,77
c20741,23,23
c20742,46,19
c20743,26,87
c20744,27,98
c20745,18,18
c20746,49,13
c20747,51,13
c20748,13,13
c20749,23,64
c20750,14,17
c20751,14,14
c20752,55,60
c20753,1,45
c20754,37,74
c20755,5,5
c20756,6,92
c20757,5,94
c20758,7,82
c20759,14,97
c20760,1,31
c20761,10,10
c20762,13,13
c20763,7,7
c20764,8,89
c20765,77,74
c20766,19,45
c20767,28,28
c20768,35,60
c20769,15,94
c20770,2,2
c20771,22,3
c20772,47,88
c20773,25,35
c20774,18,18
c20775,14,91
c20776,30,68
c20777,12,51
c20778,7,97
c20779,1,6
c20780,22,22
c20781,48,20
c20782,22,64
c20783,6,2
c20784,44,30
c20785,71,38
c20786,18,24
c20787,9,72
c20788,47,47
c20789,4,40
c20790,12,72
c20791,31,62
c20792,23,51
c20793,98,18
c20794,42,42
c20795,31,69
c20796,18,85
c20797,10,99
c20798,24,24
c20799,12,93
c20800,13,35
c20801,8,82
c20802,39,79
c20803,1,25
c20804,6,54
c20805,3,43
c20806,10,5
c20807,3,78
c20808,2,85
c20809,35,15
c20810,28,98
c20811,24,24
c20812,43,43
c20813,63,64
c20814,1,89
c20815,5,25
c20816,26,7
c20817,22,15
c20818,5,30
c20819,4,15
c20820,11,16
c20821,28,80
c20822,1,77
c20823,34,34
c20824,3,22
c20825,14,21
c20826,6,5
c20827,30,20
c20828,7,7
c20829,3,30
c20830,8,77
c20831,1,1
c20832,8,67
c20833,5,79
c20834,84,94
c20835,2,51
c20836,85,17
c20837,37,29
c20838,19,67
c20839,8,27
c20840,3,54
c20841,44,44
c20842,29,59
c20843,9,92
c20844,1,89
c20845,42,42
c20846,12,61
c20847,17,7
c20848,24,21
c20849,2,91
c20850,51,51
c20851,9,63
c20852,15,15
c20853,28,70
c20854,62,34
c20855,9,9
c20856,48,24
c20857,7,87
c20858,11,50
c20859,6,16
c20860,7,24
c20861,29,74
c20862,1,69
c20863,49,44
c20864,2,71
c20865,1,98
c20866,18,91
c20867,4,35
c20868,15,46
c20869,12,82
c20870,29,97
c20871,15,62
c20872,3,17
c20873,9,36
c20874,2,71
c20875,3,22
c20876,10,20
c20877,19,19
c20878,7,100
c20879,5,29
c20880,4,42
c20881,29,42
c20882,29,18
c20883,16,16
c20884,3,3
c20885,24,69
c20886,56,56
c20887,2,91
c20888,42,70
c20889,5,13
c20890,34,48
c20891,1,75
c20892,7,7
c20893,29,70
c20894,10,66
c20895,11,71
c20896,7,38
c20897,9,16
c20898,15,50
c20899,40,40
c20900,6,12
c20901,15,15
c20902,35,70
c20903,3,90
c20904,25,5
c20905,4,35
c20906,19,15
c20907,7,10
c20908,39,96
c20909,27,58
c20910,4,69
c20911,4,40
c20912,28,24
c20913,11,40
c20914,24,66
c20915,7,58
c20916,18,5
c20917,5,100
c20918,9,61
c20919,18,46
c20920,46,6
c20921,25,57
c20922,3,64
c20923,12,16
c20924,18,8
c20925,23,23
c20926,3,66
c20927,6,23
c20928,9,34
c20929,8,58
c20930,7,98
c20931,72,72
c20932,11,11
c20933,15,58
c20934,11,11
c20935,31,60
c20936,29,72
c20937,14,9
c20938,1,55
c20939,49,49
c20940,8,29
c20941,12,33
c20942,8,8
c20943,78,28
c20944,3,84
c20945,7,74
c20946,8,80
c20947,7,7
c20948,44,97
c20949,60,5
c20950,40,73
c20951,11,72
c20952,21,79
c20953,1,42
c20954,5,10
c20955,26,17
c20956,9,35
c20957,11,23
c20958,50,4
c20959,25,25
c20960,8,93
c20961,12,67
c20962,1,98
c20963,71,25
c20964,2,54
c20965,37,63
c20966,11,11
c20967,34,34
c20968,10,88
c20969,2,93
c20970,1,29
c20971,5,73
c20972,9,9
c20973,17,94
c20974,9,70
c20975,36,31
c20976,13,6
c20977,10,10
c20978,7,50
c20979,23,10
c20980,44,75
c20981,26,21
c20982,28,24
c20983,16,14
c20984,10,91
c20985,9,9
c20986,11,11
c20987,4,4
c20988,2,24
c20989,11,16
c20990,44,49
c20991,28,21
c20992,7,31
c20993,7,18
c20994,12,69
c20995,5,34
c20996,4,19
c20997,39,65
c20998,43,98
c20999,5,91
c21000,17,37
c21001,54,52
c21002,9,84
c21003,28,38
c21004,24,58
c21005,6,99
c21006,42,1
c21007,32,52
c21008,25,90
c21009,3,3
c21010,4,26
c21011,8,52
c21012,5,45
c21013,56,56
c21014,8,94
c21015,20,20
c21016,12,94
c21017,5,95
c21018,24,53
c21019,4,83
c21020,45,67
c21021,34,34
c21022,37,14
c21023,6,6
c21024,4,89
c21025,31,10
c21026,17,90
c21027,22,22
c21028,70,45
c21029,8,8
c21030,1,21
c21031,33,33
c21032,7,80
c21033,6,13
c21034,23,44
c21035,10,10
c21036,8,86
c21037,24,7
c21038,42,89
c21039,4,38
c21040,27,66
c21041,4,61
c21042,1,37
c21043,50,54
c21044,25,39
c21045,11,11
c21046,61,45
c21047,16,31
c21048,19,59
c21049,11,83
c21050,3,72
c21051,22,44
c21052,29,52
c21053,13,33
c21054,27,68
c21055,19,56
c21056,29,92
c21057,57,46
c21058,19,21
c21059,18,36
c21060,8,68
c21061,12,22
c21062,34,7
c21063,3,70
c21064,27,61
c21065,27,14
c21066,8,20
c21067,5,5
c21068,13,84
c21069,78,54
c21070,5,32
c21071,44,95
c21072,2,29
c21073,1,87
c21074,37,37
c21075,6,71
c21076,1,35
c21077,43,77
c21078,7,55
c21079,6,28
c21080,2,2
c21081,20,88
c21082,4,28
c21083,50,45
c21084,2,17
c21085,11,19
c21086,38,79
c21087,38,69
c21088,23,82
c21089,4,40
c21090,2,61
c21091,5,40
c21092,9,26
c21093,5,65
c21094,25,78
c21095,31,64
c21096,80,80
c21097,1,85
c21098,4,77
c21099,30,30
c21100,5,61
c21101,24,2
c21102,17,64
c21103,6,26
c21104,40,54
c21105,2,83
c21106,19,19
c21107,22,86
c21108,29,96
c21109,5,81
c21110,16,16
c21111,2,91
c21112,4,44
c21113,13,40
c21114,21,54
c21115,5,8
c21116,2,25
c21117,5,65
c21118,11,11
c21119,44,2
c21120,10,65
c21121,24,24
c21122,20,84
c21123,47,63
c21124,9,9
c21125,9,9
c21126,12,64
c21127,9,91
c21128,1,65
c21129,4,43
c21130,16,3
c21131,7,7
c21132,19,76
c21133,2,42
c21134,34,57
c21135,13,65
c21136,20,75
c21137,50,89
c21138,22,59
c21139,7,90
c21140,2,88
c21141,57,73
c21142,4,82
c21143,4,50
c21144,35,96
c21145,14,14
c21146,64,26
c21147,18,18
c21148,21,5
c21149,55,49
c21150,27,27
c21151,8,23
c21152,17,19
c21153,31,67
c21154,7,12
c21155,3,8
c21156,34,7
c21157,29,70
c21158,75,81
c21159,8,48
c21160,55,6
c21161,4,4
c21162,10,52
c21163,5,95
c21164,8,67
c21165,23,1
c21166,8,43
c21167,25,25
c21168,14,8
c21169,10,56
c21170,4,65
c21171,8,31
c21172,49,89
c21173,34,34
c21174,14,14
c21175,14,91
c21176,17,7
c21177,24,64
c21178,1,32
c21179,21,65
c21180,7,1
c21181,5,5
c21182,36,98
c21183,36,23
c21184,41,41
c21185,20,52
c21186,2,66
c21187,11,77
c21188,31,75
c21189,1,100
c21190,5,64
c21191,11,80
c21192,9,81
c21193,7,35
c21194,24,96
c21195,58,87
c21196,47,10
c21197,4,74
c21198,74,8
c21199,14,94
c21200,31,21
c21201,1,92
c21202,54,5
c21203,1,1
c21204,2,69
c21205,84,56
c21206,32,82
c21207,8,85
c21208,32,32
c21209,4,26
c21210,12,12
c21211,9,9
c21212,6,86
c21213,54,68
c21214,7,6
c21215,17,84
c21216,27,34
c21217,23,14
c21218,50,50
c21219,28,27
c21220,17,10
c21221,26,26
c21222,28,20
c21223,14,18
c21224,5,68
c21225,51,30
c21226,20,69
c21227,4,29
c21228,3,44
c21229,18,92
c21230,4,64
c21231,30,48
c21232,1,1
c21233,31,31
c21234,8,97
c21235,11,19
c21236,8,63
c21237,10,10
c21238,6,6
c21239,32,32
c21240,8,26
c21241,6,57
c21242,3,10
c21243,1,89
c21244,5,5
c21245,23,93
c21246,18,35
c21247,16,60
c21248,21,21
c21249,77,84
c21250,30,58
c21251,18,3
c21252,25,38
c21253,1,42
c21254,27,27
c21255,5,61
c21256,14,40
c21257,12,12
c21258,11,39
c21259,3,48
c21260,2,25
c21261,56,25
c21262,11,27
c21263,30,78
c21264,36,21
c21265,14,24
c21266,20,20
c21267,2,33
c21268,4,77
c21269,15,22
c21270,30,37
c21271,13,3
c21272,62,92
c21273,90,26
c21274,1,1
c21275,17,81
c21276,12,49
c21277,7,11
c21278,26,76
c21279,10,47
c21280,19,19
c21281,35,56
c21282,53,6
c21283,5,40
c21284,22,35
c21285,1,52
c21286,16,90
c21287,13,95
c21288,44,44
c21289,34,83
c21290,4,98
c21291,6,6
c21292,6,2
c21293,42,81
c21294,30,76
c21295,5,61
c21296,27,21
c21297,53,53
c21298,7,91
c21299,69,31
c21300,11,31
c21301,21,2
c21302,7,5
c21303,20,7
c21304,2,71
c21305,64,19
c21306,12,25
c21307,49,35
c21308,6,69
c21309,12,27
c21310,7,46
c21311,48,62
c21312,11,11
c21313,14,27
c21314,43,39
c21315,4,42
c21316,17,2
c21317,24,21
c21318,11,20
c21319,42,14
c21320,40,56
c21321,14,14
c21322,10,12
c21323,22,13
c21324,14,64
c21325,5,54
c21326,18,48
c21327,10,100
c21328,28,78
c21329,7,38
c21330,5,78
c21331,1,3
c21332,4,82
c21333,21,21
c21334,17,69
c21335,10,10
c21336,7,7
c21337,22,22
c21338,9,2
c21339,15,10
c21340,17,1
c21341,5,70
c21342,1,49
c21343,1,1
c21344,23,58
c21345,43,88
c21346,1,27
c21347,33,72
c21348,8,44
c21349,5,41
c21350,24,25
c21351,2,16
c21352,8,64
c21353,2,79
c21354,11,69
c21355,57,50
c21356,1,23
c21357,8,64
c21358,2,13
c21359,60,67
c21360,9,9
c21361,12,30
c21362,2,36
c21363,9,20
c21364,75,37
c21365,10,10
c21366,24,7
c21367,4,96
c21368,3,28
c21369,15,99
c21370,13,16
c21371,13,82
c21372,15,36
c21373,17,17
c21374,4,71
c21375,44,80
c21376,12,12
c21377,2,89
c21378,1,49
c21379,28,24
c21380,19,90
c21381,15,67
c21382,17,31
c21383,73,74
c21384,4,78
c21385,20,55
c21386,17,43
c21387,28,64
c21388,12,29
c21389,38,26
c21390,3,24
c21391,42,42
c21392,11,67
c21393,33,64
c21394,15,15
c21395,7,2
c21396,57,88
c21397,5,94
c21398,3,66
c21399,18,18
c21400,69,72
c21401,22,45
c21402,9,79
c21403,32,89
c21404,10,1
c21405,51,30
c21406,11,15
c21407,5,26
c21408,34,31
c21409,18,99
c21410,11,72
c21411,8,38
c21412,17,7
c21413,43,73
c21414,23,40
c21415,10,37
c21416,10,10
c21417,30,68
c21418,15,61
c21419,2,27
c21420,33,75
c21421,59,91
c21422,16,8
c21423,52,84
c21424,8,75
c21425,21,23
c21426,12,75
c21427,7,93
c21428,21,69
c21429,49,50
c21430,28,80
c21431,20,43
c21432,6,7
c21433,17,7
c21434,51,23
c21435,6,62
c21436,16,16
c21437,18,18
c21438,26,67
c21439,57,9
c21440,44,44
c21441,5,93
c21442,4,13
c21443,13,94
c21444,49,66
c21445,23,13
c21446,1,1
c21447,3,84
c21448,3,95
c21449,2,79
c21450,2,2
c21451,5,71
c21452,7,6
c21453,28,27
c21454,88,88
c21455,6,72
c21456,38,38
c21457,10,10
c21458,60,11
c21459,39,10
c21460,7,91
c21461,1,72
c21462,9,85
c21463,35,99
c21464,8,54
c21465,54,47
c21466,1,1
c21467,1,1
c21468,34,9
c21469,25,49
c21470,55,74
c21471,4,30
c21472,3,74
c21473,15,60
c21474,24,3
c21475,57,63
c21476,11,53
c21477,28,28
c21478,12,5
c21479,1,92
c21480,3,23
c21481,58,64
c21482,41,42
c21483,5,47
c21484,53,45
c21485,27,27
c21486,4,60
c21487,6,30
c21488,25,35
c21489,11,7
c21490,33,72
c21491,4,39
c21492,23,64
c21493,7,64
c21494,25,78
c21495,8,89
c21496,17,92
c21497,4,81
c21498,5,24
c21499,14,72
c21500,20,90
c21501,2,52
c21502,8,48
c21503,2,2
c21504,21,46
c21505,7,66
c21506,13,38
c21507,9,42
c21508,22,80
c21509,1,79
c21510,5,92
c21511,2,97
c21512,5,96
c21513,45,90
c21514,11,55
c21515,6,52
c21516,13,64
c21517,97,15
c21518,5,82
c21519,13,51
c21520,6,43
c21521,32,25
c21522,19,68
c21523,10,10
c21524,8,66
c21525,38,58
c21526,8,24
c21527,19,56
c21528,12,22
c21529,17,68
c21530,4,53
c21531,15,32
c21532,18,37
c21533,13,33
c21534,31,31
c21535,52,70
c21536,30,60
c21537,9,84
c21538,11,11
c21539,9,9
c21540,26,37
c21541,22,41
c21542,31,31
c21543,5,8
c21544,3,4
c21545,24,78
c21546,28,42
c21547,1,51
c21548,10,10
c21549,7,90
c21550,13,13
c21551,13,30
c21552,1,1
c21553,3,32
c21554,25,25
c21555,16,16
c21556,51,59
c21557,9,97
c21558,30,10
c21559,34,57
c21560,22,13
c21561,3,94
c21562,1,17
c21563,11,1
c21564,21,21
c21565,39,40
c21566,55,1
c21567,2,73
c21568,20,82
c21569,10,48
c21570,9,55
c21571,58,58
c21572,9,35
c21573,32,32
c21574,13,65
c21575,20,21
c21576,26,65
c21577,11,35
c21578,27,92
c21579,17,58
c21580,9,76
c21581,5,88
c21582,16,91
c21583,11,30
c21584,1,41
c21585,6,50
c21586,13,13
c21587,4,75
c21588,17,15
c21589,8,72
c21590,21,25
c21591,55,55
c21592,12,12
c21593,30,32
c21594,8,8
c21595,8,39
c21596,98,7
c21597,72,76
c21598,30,30
c21599,4,86
c21600,5,100
c21601,21,5
c21602,48,39
c21603,13,13
c21604,22,22
c21605,16,97
c21606,3,3
c21607,18,18
c21608,26,34
c21609,4,95
c21610,2,89
c21611,4,73
c21612,3,27
c21613,38,12
c21614,20,20
c21615,14,30
c21616,18,75
c21617,26,26
c21618,26,19
c21619,11,11
c21620,5,65
c21621,10,91
c21622,34,11
c21623,31,90
c21624,2,68
c21625,9,14
c21626,2,2
c21627,23,32
c21628,21,37
c21629,3,55
c21630,5,22
c21631,1,18
c21632,1,98
c21633,8,29
c21634,1,18
c21635,8,64
c21636,5,35
c21637,4,88
c21638,20,37
c21639,29,4
c21640,5,100
c21641,23,67
c21642,39,69
c21643,2,99
c21644,1,10
c21645,4,80
c21646,2,17
c21647,12,12
c21648,8,8
c21649,11,51
c21650,20,77
c21651,24,12
c21652,7,28
c21653,1,44
c21654,40,40
c21655,11,98
c21656,7,5
c21657,66,75
c21658,22,75
c21659,5,94
c21660,19,76
c21661,48,22
c21662,16,44
c21663,51,51
c21664,4,80
c21665,59,59
c21666,14,55
c21667,39,14
c21668,9,2
c21669,8,8
c21670,7,33
c21671,3,61
c21672,12,61
c21673,1,84
c21674,52,66
c21675,9,45
c21676,36,33
c21677,3,3
c21678,6,81
c21679,3,73
c21680,24,93
c21681,2,2
c21682,13,13
c21683,31,31
c21684,5,7
c21685,18,56
c21686,5,4
c21687,37,3
c21688,2,5
c21689,4,4
c21690,18,18
c21691,26,42
c21692,45,87
c21693,13,27
c21694,43,43
c21695,2,2
c21696,8,48
c21697,34,67
c21698,58,30
c21699,6,42
c21700,5,9
